PaperID,Title,Abstract,PersonIDList
1018,Peripheral visual information halves attentional choice biases,"A growing body of research has shown that simple choices involve the construction and comparison of values at the time of decision. These processes are modulated by attention in a way that leaves decision makers susceptible to attentional biases. Here we study the role of peripheral visual information on the choice process and on attentional choice biases. We use an eye-tracking experiment where subjects (N=50 adults) make binary choices between food items that are displayed in marked screen ""shelves"" in two conditions: (1) where both items are displayed, and (2) where items are only displayed when subjects fixate within their shelves. We find that removing the nonfixated option approximately doubles the size of the attentional biases. The results show that peripheral visual information is crucial in facilitating good decisions, and suggest that individuals might be influenceable by settings in which only one item is shown at a time, such as e-commerce.",132; 127; 177
1019,A Cellular-Level Account of Classical Conditioning,"Animals learn from experience the value of environmental stimuli to guide their behavior. At the core of conditioning lies the capacity to associate a neural activity pattern induced by an unconditioned stimulus (US) with the pattern arising in response to a conditioned stimulus (CS). Reward-modulated associative synaptic plasticity has been successful in explaining conditioning when the neural representations of behavioral stimuli are unmixed. However this assumption is inconsistent with the fact that neurons - particularly in high-level, cognitive areas - display mixed selectivity. Inspired by experimental findings on the associative power of single cortical pyramidal neurons, we propose a computational model that achieves generic pattern-to-pattern mappings at the population level. Our model incorporates a local learning rule operating in compartmentalized neurons, which mirrors the capacity of cortical pyramidal neurons to implement predictive learning through coincidence detection. The model accounts for a wide gamut of conditioning phenomena, offers a reductionist mechanism for causal inference, and produces experimentally testable predictions. In psychological terms, it corresponds to the stimulus substitution component of classical conditioning.",193; 177
1020,Using Deep Learning tools for fitting Reinforcement Learning Models,"Computational cognitive modeling has advanced our understanding of learning and decision-making. However, the set of models we use is often limited by technical constraints, such as feasibility of model-fitting. Most modeling methods require computing the likelihood of the data under the model (e.g. finding parameters that maximize it). However, many computational models have intractable likelihoods, and workarounds designed for this problem only work on a small subset of models with specific assumptions. To address this issue, we tested a method using deep learning tools to estimate model parameters without estimating intractable likelihoods. Our results show that we can adequately recover parameters using this end-to-end approach. Our work contributes an important new tool to the ongoing development of computational techniques that will enable researchers to consider a broader set of models and develop better theories of complex human cognition. ",179; 201; 121; 120
1021,A Counterfactual Model of Causal Judgments in Double Prevention,"In cases of double prevention--when one event prevents another from preventing an outcome initiated by a productive factor--people tend to judge the productive factor as causal but the double preventer as non-causal. Recent work demonstrated that this tendency can be explained by appealing to people's agreement with and tendency to consider counterfactuals: asking people to imagine the absence of the double preventer decreased their tendency to view the productive factor as more causal than the double-preventer. These effects were well-explained by the Necessity-Sufficiency (NS) model, which instantiates a particular counterfactual account. Here we asked whether another model, the Counterfactual Effect Size (CES) model, could predict the same effects. We found that the CES model indeed predicted these effects, suggesting that the ability of counterfactual theories to predict causal judgments in cases of double prevention is not unique to the NS model.",170; 175; 141
1023,The geometry of cognitive maps under dynamic cognitive control,"Recent work has shown that abstract, non-spatial relationships between task-relevant states or entities are organized into map-like neural representations. Here, we investigate how these map-like representations interact with changing task goals in the context of cognitive control, where the features most relevant to the current goal benefit from top-down biasing. Classic computational neuroscience studies of cognitive control have focused on explicitly presented categorical features rather than map-like representations retrieved from memory, and have typically found facilitation of task-relevant features and suppression/compression of task-irrelevant features. Here, we explore the relationship between cognitive control and the geometry of map-like representations by combining neural network models and fMRI of the same task. Previously, we found that although only one of two task attributes was behaviorally relevant for current decisions, hippocampus (HC), entorhinal cortex (EC), and orbitofrontal cortex (OFC) spontaneously organized pairwise relationships into 2D map-like representations. Consistent with the predictions of the neural-network models, new analyses of the fMRI data show that task-irrelevant dimensions were compressed relative to task-relevant dimensions dynamically as a function of which dimension is currently relevant, in dorsomedial and dorsolateral frontal (DLFC and DMFC) and posterior and medial parietal cortex (PMC). Furthermore, the model's underlying 2D representations were also affected by task demands in a different way: representations were warped along the 2D axis that remains unchanged across conditions requiring focus on each dimension separately. This finding was confirmed by fMRI analyses showing that this same warping phenomenon occurs in the HC, and that the degree of warping was correlated with individual differences in cognitive control. Further simulations showed that this warped geometry reflects the natural tendency of neural networks to learn context-invariant maps, consistent with behavioral and fMRI results. The stronger reactivation of context information in the HC to mitigate the conflicts was associated with the less the warping in the representations across individuals.",172; 204; 182; 164; 168; 114
1027,Different computational strategies for different reinforcement learning problems,"The Rescorla-Wagner rule remains the most popular tool to describe human behavior in reinforcement learning problems. However, several studies have shown that this learning rule is insufficient to fit human flexibility. Therefore, several extensions of the Rescorla-Wagner learning rule have been proposed. Current work investigates three of these extensions on a wide variety of reinforcement learning datasets. Specifically, we investigate the addition of (1) an adaptive learning rate, (2) modularity and (3) hierarchical learning. We observed (AIC) evidence for each additional feature if reward probabilities change in a well-identifiable manner, such as in classic reversal learning tasks. When reward probabilities are stable or when they change in a not well-identifiable manner the Rescorla-Wagner model fits the data best.",195; 196
1029,A Large and Rich EEG Dataset for Modeling Human Visual Object Recognition,"The human brain achieves object recognition by reformatting visual representations along multiple stages of nonlinear operations in the visual ventral stream. Currently, these representations are most well predicted by deep neural networks (DNNs). However, such models require massive amounts of data to properly train, and to the present day there is a lack of brain datasets that extensively sample the neural dynamics of visual object recognition. Here, we collected a large and rich dataset of high temporal resolution electroencephalography (EEG) responses to images of objects on a natural background. This dataset includes 10 participants, each with 82,160 trials spanning 16,740 image conditions. We highlighted its suitability to train randomly initialized DNNs end-to-end to encode the EEG responses to arbitrary input images. We release this dataset as a tool to foster research in visual neuroscience and computer vision. The dataset is available on OSF: https://osf.io/3jk45/.",137; 129; 180; 119
1030,Orthogonal neural encoding of targets and distractors supports cognitive control,"People can flexibly adapt neural information processing to accommodate a wide range of situations. This flexibility may be facilitated by orthogonal neural representations supporting multiple cognitive control signals. We tested representational orthogonality in fMRI using the recently-developed Parametric Attentional Control Task. In dorsal anterior cingulate cortex, we found that task difficulty due to targets vs distractors was orthogonally encoded along an apparent rostrocaudal gradient. In parietal cortex, we found that the strength of target vs distractor information was collinearly and orthogonally represented with medial-lateral differentiation. Across frontoparietal cortex, feature coherence subspaces were aligned with performance subspaces, but feature coherence was only reliably encoded during control-demanding blocks. Together, we find evidence for the neural representations of task variables necessary for multivariate cognitive control.",178; 185
1031,Deep Learning Reveals Non-linear Relationships between EEG and fMRI Dynamics,"fMRI enables non-invasive neuroimaging with high spatial resolution, but analyzing fMRI's hemodynamic data is challenging due to its complex relationship to the underlying neural activity. Deep learning's power to find non-linear relationships makes it particularly suitable for fMRI analyses, with many successful applications in classification of resting-state data. However, few have explored deep learning's potential to generate continuous cross-modal predictions. If deep learning can translate fMRI data to neurophysiological EEG, it could become a promising method for uncovering relationships between hemodynamic changes and neural activity. Here, we demonstrate a proof-of-concept that deep recurrent neural networks can predict sleep EEG delta power from resting-state fMRI on a datapoint-to-datapoint basis, even for out-of-sample subjects, with predictions primarily driven by cortical fMRI dynamics. Supporting the idea that these predictions leverage non-linear information, a cross-correlation analysis revealed that our model outperformed simple linear methods. These results highlight the potential of deep learning to identify complex relationships between hemodynamic fMRI and EEG neural activity that cannot be detected with traditional linear analyses.",145; 232
1032,"Spatially-embedded Recurrent Neural Networks: Bridging common structural and functional findings in neuroscience, including small-worldness, functional clustering in space and mixed selectivity","Brain networks exist in a biophysical world. In this world, the brain as a whole needs to control and navigate its organism within a complex environment, while its constituent neurons must economically balance the resources they use to grow connections. To build and sustain connections, they need to overcome the strain caused by long distances in physical 3D and their own topological space. Due to being exposed to the same basic forces and hence optimization problem, many brains converge on similar features in their structure and function. To observe the effects of these basic forces on a network's optimization process, we introduce the spatially-embedded RNN (seRNN). We find that seRNNs, due to existing in 3D Euclidean and topological space, naturally converge on solving a task using modular small-world networks in which functionally similar units cluster in space and utilise a mixed selective code. This shows (a) how fundamental, but seemingly unrelated, neuroscientific findings can be attributed to a network's biophysical optimization process and (b) how spatially-embedded neural networks can serve as model systems to bridge between structural and functional research communities to move neuroscientific understanding forward.",103; 105; 187; 108; 115; 128
1033,A neural code for probabilities,"Most events in our lives are probabilistic. Estimating their probability is crucial for adaptive behavior. Humans can estimate such probabilities, and even explicitly report their estimate when asked. The neural basis of such probability estimates remains elusive. Here, we found a neural code of probability estimate in humans during a changing probability estimation task. This neural code explains the measured fMRI activity in prefrontal and parietal cortex. It contains a majority of non-linear responses tuned to certain preferred values of probability, which contrast with the mostly linear responses observed for another quantity-the confidence associated with each estimate. This neural code may serve as a basis for probability estimation, which underlies many behaviors.",136; 116; 125; 130; 190; 135
1034,Factorized convolution models for interpreting neuron guided image evolution,"Convolutional neural networks have been extensively used to model neurons in visual systems of primates and rodents. However, as a regression problem, this is ill-posed, because the number of image-response pairs are often far fewer than the visual feature regressors. Because of this, numerous weights could fit the training set equally well. Most of the modelling methods used unsupervised feature reduction and penalized regression to tackle this problem. But this paradigm discards spatial structure of the feature units for the sake of computational efficiency. Because of this, these approaches usually result in an irregular weight structure, making it hard for interpretation and further investigation of visual selectivity. Here we propose to use a correlative model to find the relevant features to the neuron and then use tensor factorization to find the feature and spatial factors corresponding to the model. This is a ""supervised"" feature reduction method, which could be combined with normal penalized regression. This method is as efficient and accurate as previous penalized regression methods in predicting neurons. Moreover, it provides more accurate localization of receptive fields, and benefits interpretation of the preferred feature of neuron. In this manner, we are able to transform a dense ""black-box"" model of visual neurons into a low rank, part-based model, easier to describe and investigate.",199; 174
1036,Category-selective neural responses are integrated in topographically organized convergence sites,"Category-selectivity is a fundamental principle of organization of perceptual brain regions. Human occipitotemporal cortex is subdivided into areas that respond preferentially to faces, bodies, artifacts, and scenes. However, observers need to integrate information about objects from different categories to form a coherent understanding of the world. How is this category integration implemented in the brain? Here we tested the hypothesis that category integration occurs within anatomically localized integration sites. Studying the multivariate interactions between brain regions with fMRI and artificial neural networks, we found that multiple category-selective representations converge in the angular gyrus. Additional analyses revealed a topographic map of cortical areas that integrate different subsets of the categories, indicating that category integration does not occur in a single stage at a centralized location, but at multiple distinct integration sites.",133; 104; 155; 107
