PersonID,Abstract
256,not here 256'
205,"Brain-inspired machine learning is gaining increasing consideration, particularly in computer vision. Several studies investigated the inclusion of top-down feedback connections in convolutional networks; however, their functional role remains unclear. Here, we consider deep convolutional networks and implement Predictive Coding (PC) dynamics through feedback connections to perform object recognition under noisy conditions. Then, we interpret the functional role of the predictive feedback by letting the network optimize the corresponding hyper-parameters in various experimental situations. Across different model depths and architectures (3-layer CNN, ResNet18, and EfficientNetB0) and against various types of noise (CIFAR100-C), we find that the network increasingly relies on top-down predictions as the noise level increases. This effect is most prominent at lower layers in deeper networks. Moreover, the accuracy of the network implementing PC dynamics significantly increases over time-steps, compared to its equivalent feed-forward network. Our results provide novel insights relevant to Neuroscience by confirming the computational role of feedback connections in sensory systems, and to Machine Learning by revealing the benefits of PC dynamics in robust computer vision. An extended version of this work is available as preprint at: https://arxiv.org/abs/2106.04225"
257,not here 257
207,"Our brain constantly uses prior knowledge that reflects the statistics of our environment to shape our perception. Those statistics can be implicit, not directly observable but learned from observations, or explicit, communicated directly to the observer, especially in humans. Those different origins and mechanisms for acquiring priors may influence perception differently. Here, we manipulated the strength of priors and sensory likelihood to study perceptual inference in both implicit and explicit contexts. Using Bayesian models of learning and decision, we showed that subjects performed worse in the explicit than implicit context because they neglected more the sensory likelihood. The weight of the likelihood was highly correlated between contexts (but different on average) across individuals, but the weight of priors was unrelated. Those results support a dissociation in perceptual inference between the use of implicit vs. explicit priors. Many previous studies reported suboptimality of perceptual inference in healthy subjects or psychiatric disorders; those results could be reinterpreted in light of the implicit-explicit origin of priors. "
210,"In our daily lives, we quickly and effortlessly perceive features of others' interactions. Extracting these social details is crucial for deciding how to act in the social world, but little is understood about how this is solved in the mind and brain. Recent work has identified a visually-selective region for the presence of a social interaction in posterior superior temporal sulcus (pSTS), but whether and how diverse features of a social interaction (ranging from visual to high-level) are presented in the pSTS or elsewhere in the brain is unknown. To answer this question, we showed participants 250 3-second video clips of naturalistic two-person interactions while undergoing fMRI. We used an encoding model approach to model where visual and social features of the videos are represented in the brain. We replicate known preference for scene and object features in visual cortex. We also find preference for facing bodies in EBA and joint action in pSTS, extending prior findings with controlled stimuli to natural settings. Finally, we identify regions along the extent of the STS that show a preference for third-party communication. Together, these results suggest a hierarchy of visual to social feature processing along the lateral surface of the brain."
258,not here 258
211,"Predicting what will come next in a changing and stochastic world is difficult. However, humans are able to do so based on past observations in a reasonably accurate manner by following the principles of Bayesian inference. In particular, they have a sense of confidence about their predictions and use it to regulate the updates of those predictions. Here, we probed the neural representation of this confidence in human adults during a probability-learning task with 7T fMRI. Participants were shown binary sequences of visual stimuli generated from an abruptly changing Bernoulli process. They covertly estimated the latent item probability and occasionally reported it along with their estimation confidence. We modelled learning with an (Bayesian) ideal model and distinguished prediction (the probability estimate), confidence (the estimate's precision), predictability, and surprise. Participants' reports correlated with those of the ideal observer. Our results unveiled a neural representation of confidence in a fronto-parietal network where the fMRI activity was 1) sensitive to confidence, 2) specifically so with respect to confounds (surprise and predictability), 3) invariant to which item is predicted in the sequence, and 4) functional inasmuch as it overlapped with a representation of surprise (relevant for confidence-weighted updates), and predicted the subjective confidence reports."
212,"The visual processing stream is capable of both inferring object identity under changes of viewing conditions, and of using object knowledge to fill in for missing sensory information. Current models of invariant recognition process information in a feedforward manner, leaving the question open how the top-down pathway is trained. Here, we show that predictive coding networks as a model of generative perception acquire object representations invariant to rotational angle, scale and lateral position when trained on sequences of continuously moving objects. The network reconstructs whole images from partially occluded inputs akin to observed decodability of occluded scene information in human early visual areas, which can only be addressed by models with information-carrying recurrent connections. Furthermore, the resulting dynamics of error-encoding neurons in the model provide a novel angle for experimental research on neural encoding of prediction errors."
213,"Brain-inspired machine learning is gaining increasing consideration, particularly in computer vision. Several studies investigated the inclusion of top-down feedback connections in convolutional networks; however, their functional role remains unclear. Here, we consider deep convolutional networks and implement Predictive Coding (PC) dynamics through feedback connections to perform object recognition under noisy conditions. Then, we interpret the functional role of the predictive feedback by letting the network optimize the corresponding hyper-parameters in various experimental situations. Across different model depths and architectures (3-layer CNN, ResNet18, and EfficientNetB0) and against various types of noise (CIFAR100-C), we find that the network increasingly relies on top-down predictions as the noise level increases. This effect is most prominent at lower layers in deeper networks. Moreover, the accuracy of the network implementing PC dynamics significantly increases over time-steps, compared to its equivalent feed-forward network. Our results provide novel insights relevant to Neuroscience by confirming the computational role of feedback connections in sensory systems, and to Machine Learning by revealing the benefits of PC dynamics in robust computer vision. An extended version of this work is available as preprint at: https://arxiv.org/abs/2106.04225"
259,not here 259
